"","Family","Genus","Species","Data_type","Size_sd","Size_Est","P4_sd","P4_Est","m1_sd","m1_Est"
"14","Procyonidae","Acheronictis","webbi","Inferred_teeth",0.225,-0.159,0,0.653,0.045,0.703
"516","Felidae","Acinonyx","jubatus","Measured",0,1.669,0,1.354,0,1.236
"574","Felidae","Acinonyx","pardinensis","Inferred_teeth",0.2,1.706,0,1.423,0,1.324
"643","Hyanidae","Adcrocuta","eximia","Inferred_teeth",0.247,1.764,0,1.579,0,1.442
"555","Felidae","Adelphailurus","kansensis","Inferred_teeth",0.285,1.653,0,1.398,0,1.176
"1170","Ursidae","Adelpharctos","ginsburgi","Inferred_teeth",0.263,1.423,0.045,1.141,0,1.236
"1141","Ursidae","Adelpharctos","mirus","Inferred_teeth",0.237,1.538,0.037,1.188,0,1.286
"581","Amphicyonidae","Adilophontes","brachykolos","Measured",0,2.138,0,1.431,0,1.462
"523","Canidae","Aelurodon","asthenostylus","Inferred_teeth",0.367,1.627,0,1.367,0,1.408
"571","Canidae","Aelurodon","ferox","Inferred_teeth",0.393,1.744,0,1.422,0,1.451
"568","Canidae","Aelurodon","mcgrewi","Inferred_teeth",0.371,1.69,0,1.419,0,1.409
"592","Canidae","Aelurodon","montanensis","Inferred_teeth",0.36,1.796,0,1.455,0,1.462
"542","Canidae","Aelurodon","stirtoni","Inferred_teeth",0.376,1.628,0,1.384,0,1.393
"586","Canidae","Aelurodon","taxoides","Inferred_teeth",0.396,1.809,0,1.45,0,1.478
"1322","Stenoplesictidae","Africanictis","hyaenoides","Inferred_teeth",0.321,0.809,0.073,1.089,0,1.053
"1386","Stenoplesictidae","Africanictis","meini","Inferred_teeth",0.321,0.641,0.073,1.022,0,0.98
"1395","Stenoplesictidae","Africanictis","schmidtkittleri","Inferred_teeth",0.306,0.612,0.069,1.01,0,0.968
"1034","Amphicyonidae","Afrocyon","buroletti","Inferred_teeth",0.268,2.274,0.049,1.42,0,1.491
"1054","Amphicyonidae","Afrocyon","ginsburgi","Inferred_teeth",0.274,2.176,0.051,1.38,0,1.449
"1075","Amphicyonidae","Afrocyon","macrodon","Inferred_teeth",0.293,2.09,0.056,1.346,0,1.412
"491","Barbourofelidae","Afrosmilus","africanus","Inferred_teeth",0.241,1.453,0,1.322,0.04,1.215
"496","Barbourofelidae","Afrosmilus","hispanicus","Inferred_teeth",0.231,1.44,0,1.322,0,1.204
"368","Barbourofelidae","Afrosmilus","turkanae","Inferred_teeth",0.229,1.109,0,1.164,0,1.083
"627","Amphicyonidae","Agnotherium","antiquum","Inferred_teeth",0.3,2.393,0,1.524,0,1.5
"1008","Amphicyonidae","Agnotherium","grivense","Inferred_teeth",0.296,2.425,0.057,1.498,0,1.55
"484","Ursidae","Agriarctos","depereti","Inferred_teeth",0.255,2.162,0,1.312,0,1.371
