"spp";"mass";"rbl";"clade";"TS";"TE"
"1";"Aelurodon_asthenostylus";1.627;0.723438179000017;"Borophaginae";18.155525529361;12.6204774821238
"2";"Aelurodon_ferox";1.744;0.742780764000001;"Borophaginae";16.3651232354338;9.53788192703164
"3";"Aelurodon_mcgrewi";1.69;0.727230443000014;"Borophaginae";16.3480663294104;12.599186948689
"4";"Aelurodon_montanensis";1.796;0.74800000000001;"Borophaginae";14.5573970634636;14.0507260476753
"5";"Aelurodon_stirtoni";1.628;0.772914728000011;"Borophaginae";16.1656363551211;9.32064666032861
"6";"Aelurodon_taxoides";1.809;0.759994707000003;"Borophaginae";15.2610898582989;7.09083000258832
"7";"Aenocyon_dirus";1.689;0.731863750000002;"Caninae";2.165620688909;0.00782879575004096
"8";"Archaeocyon_leptodus";0.581;0.668210910999995;"Borophaginae";31.3959406170351;24.6681621356017
"9";"Archaeocyon_pavidus";0.342;0.63556041899999;"Borophaginae";31.9644274325666;26.6376349863956
"10";"Borophagus_diversidens";1.897;0.715488427999991;"Borophaginae";4.68018421754022;1.41041416833954
"11";"Borophagus_dudleyi";1.949;0.735894837603697;"Borophaginae";6.80438644024667;6.46571412435863
"12";"Borophagus_hilli";1.811;0.709363533999986;"Borophaginae";9.33113648644621;1.53146756041078
"13";"Borophagus_littoralis";1.668;0.669999999999994;"Borophaginae";12.6558061808031;8.60500122830786
"14";"Borophagus_orc";1.484;0.727516778999992;"Borophaginae";8.63744530700855;5.71257550005109
"15";"Borophagus_parvus";1.517;0.698751478999992;"Borophaginae";8.89475897657106;5.32603766390261
"16";"Borophagus_pugnator";1.681;0.700715686999995;"Borophaginae";11.9006413256751;4.64458468903214
"17";"Borophagus_secundus";1.691;0.717695942999998;"Borophaginae";11.1346681318455;4.56871055532335
"18";"Canis_armbrusteri";1.57;0.691810050999989;"Caninae";1.50429856840159;0.0330515990980514
"19";"Canis_cedazoensis";1.061;0.671707117961524;"Caninae";0.953382933255952;0.79250820978409
"20";"Canis_edwardii";1.349;0.683013956;"Caninae";4.39748059135529;0.175503429267051
"21";"Canis_latrans";1.127;0.696410526000013;"Caninae";4.09236465168855;0
"22";"Canis_lepophagus";1.175;0.707927025999994;"Caninae";4.75598502171316;1.03711038315413
"23";"Canis_lupus";1.508;0.707927025999994;"Caninae";1.1854520048788;0
"24";"Canis_rufus";1.361;0.692477288374697;"Caninae";4.6316862527887;0
"25";"Canis_thooides";1.049;0.686476212000002;"Caninae";3.2143460128005;3.03730462932655
"26";"Carpocyon_compressus";1.369;0.661841629000002;"Borophaginae";16.3180526524097;12.5144522170755
"27";"Carpocyon_limosus";1.274;0.670270866603318;"Borophaginae";8.79313306712731;5.08929590893663
"28";"Carpocyon_robustus";1.496;0.691691469000002;"Borophaginae";12.6483406222422;9.38663015499063
"29";"Carpocyon_webbi";1.547;0.692075844999987;"Borophaginae";15.9585705298015;6.33648591011211
"30";"Cerdocyon_texanus";0.833;0.642083897000011;"Caninae";7.99865208294819;2.2154225366743
"31";"Chrysocyon_nearcticus";1.266;0.714000000000015;"Caninae";4.36002669020021;1.92588963904066
"32";"Cormocyon_copei";0.725;0.614145031000011;"Borophaginae";28.8749200391646;22.9758626280446
"33";"Cormocyon_haydeni";0.707;0.674973977000002;"Borophaginae";22.5727450787858;18.9897778864616
"34";"Cuon_alpinus";1.106;0.743259967999993;"Caninae";0.144176829689892;0.0504162022572581
"35";"Cynarctoides_acridens";0.472;0.657000000000003;"Borophaginae";22.5901855531168;12.685082757603
"36";"Cynarctoides_emryi";0.364;0.541;"Borophaginae";18.2657165236162;16.4960056908525
"37";"Cynarctoides_gawnae";0.376;0.674999999999995;"Borophaginae";18.2218133981647;16.415840045063
"38";"Cynarctoides_harlowi";0.228;0.620000000000004;"Borophaginae";21.0815000763472;20.6421860593881
"39";"Cynarctoides_lemur";0.353;0.622530546999997;"Borophaginae";29.1082968653545;24.1812846167564
"40";"Cynarctoides_luskensis";0.382;0.647189247000017;"Borophaginae";22.6682741914155;19.0191204032752
"41";"Cynarctoides_whistleri";0.228;0.630999999999983;"Borophaginae";18.3221308621408;16.4983863826828
"42";"Cynarctus_crucidens";0.706;0.519811034999989;"Borophaginae";13.3272779991831;9.3610026390064
"43";"Cynarctus_galushai";1.056;0.656941072999993;"Borophaginae";16.2314078383444;12.7347236618885
"44";"Cynarctus_marylandica";1.021;0.625304643899432;"Borophaginae";15.9849345235464;13.9990503947381
"45";"Cynarctus_saxatilis";1.131;0.560439560000005;"Borophaginae";16.3699950119572;12.6809512181987
"46";"Cynarctus_voorhiesi";0.936;0.609195402;"Borophaginae";12.4819181743551;9.63354029503139
"47";"Cynarctus_wangi";1.009;0.614609101063523;"Borophaginae";14.3226965895756;13.8121624744681
