Suborder;Superfamily;Family;Constrained within family;Subfamily;Constrained witin subfamily;Genus;Species;Consrained within genus
Caniformia;Musteloidea;Ailuridae;Yes except unplaced species in superfamily;Ailurinae;Yes except unplaced species in superfamily;Ailurus;fulgens;Yes
Caniformia;Musteloidea;Ailuridae;Yes except unplaced species in superfamily;Simocyoninae;Yes except unplaced species in superfamily;Alopecocyon;getti;Yes
Caniformia;Musteloidea;Ailuridae;Yes except unplaced species in superfamily;Simocyoninae;Yes except unplaced species in superfamily;Alopecocyon;goeriachensis;Yes
Caniformia;Musteloidea;Ailuridae;Yes except unplaced species in superfamily;Simocyoninae;Yes except unplaced species in superfamily;Alopecocyon;leardi;Yes
Caniformia;Musteloidea;Ailuridae;Yes except unplaced species in superfamily;Simocyoninae;Yes except unplaced species in superfamily;Alopecocyon;parverratis;Yes
Caniformia;Musteloidea;Ailuridae;Yes except unplaced species in superfamily;Basal to subfamilies;NA;Amphictis;aginensis;Yes
Caniformia;Musteloidea;Ailuridae;Yes except unplaced species in superfamily;Basal to subfamilies;NA;Amphictis;antiqua;Yes
Caniformia;Musteloidea;Ailuridae;Yes except unplaced species in superfamily;Basal to subfamilies;NA;Amphictis;borbonica;Yes
Caniformia;Musteloidea;Ailuridae;Yes except unplaced species in superfamily;Basal to subfamilies;NA;Amphictis;cuspida;Yes
Caniformia;Musteloidea;Ailuridae;Yes except unplaced species in superfamily;Basal to subfamilies;NA;Amphictis;lemanensis;Yes
Caniformia;Musteloidea;Ailuridae;Yes except unplaced species in superfamily;Basal to subfamilies;NA;Amphictis;prolongata;Yes
Caniformia;Musteloidea;Ailuridae;Yes except unplaced species in superfamily;Basal to subfamilies;NA;Amphictis;schlosseri;Yes
Caniformia;Musteloidea;Ailuridae;Yes except unplaced species in superfamily;Basal to subfamilies;NA;Amphictis;wintershofensis;Yes
Caniformia;Musteloidea;Ailuridae;Yes except unplaced species in superfamily;Ailurinae;Yes except unplaced species in superfamily;Magerictis;imperialensis;Yes
Caniformia;Musteloidea;Ailuridae;Yes except unplaced species in superfamily;Ailurinae;Yes except unplaced species in superfamily;Parailurus;anglicus;Yes
Caniformia;Musteloidea;Ailuridae;Yes except unplaced species in superfamily;Ailurinae;Yes except unplaced species in superfamily;Parailurus;baikalicus;Yes
Caniformia;Musteloidea;Ailuridae;Yes except unplaced species in superfamily;Ailurinae;Yes except unplaced species in superfamily;Parailurus;hungaricus;Yes
Caniformia;Musteloidea;Ailuridae;Yes except unplaced species in superfamily;Ailurinae;Yes except unplaced species in superfamily;Parailurus;NorthAmerica;Yes
Caniformia;Musteloidea;Ailuridae;Yes except unplaced species in superfamily;Ailurinae;Yes except unplaced species in superfamily;Pristinailurus;bristoli;Yes
Caniformia;Musteloidea;Ailuridae;Yes except unplaced species in superfamily;Simocyoninae;Yes except unplaced species in superfamily;Protursus;simpsoni;Yes
Caniformia;Musteloidea;Ailuridae;Yes except unplaced species in superfamily;Simocyoninae;Yes except unplaced species in superfamily;Simocyon;batalleri;Yes
Caniformia;Musteloidea;Ailuridae;Yes except unplaced species in superfamily;Simocyoninae;Yes except unplaced species in superfamily;Simocyon;diaphorus;Yes
Caniformia;Musteloidea;Ailuridae;Yes except unplaced species in superfamily;Simocyoninae;Yes except unplaced species in superfamily;Simocyon;hungaricus;Yes
Caniformia;Musteloidea;Ailuridae;Yes except unplaced species in superfamily;Simocyoninae;Yes except unplaced species in superfamily;Simocyon;marshi;Yes
Caniformia;Musteloidea;Ailuridae;Yes except unplaced species in superfamily;Simocyoninae;Yes except unplaced species in superfamily;Simocyon;primigenius;Yes
Caniformia;None;Amphicynodontinae;Paraphyletic to ursidae;None;NA;Allocyon;loganensis;Yes
Caniformia;None;Amphicynodontinae;Paraphyletic to ursidae;None;NA;Amphicticeps;dorog;Yes
Caniformia;None;Amphicynodontinae;Paraphyletic to ursidae;None;NA;Amphicticeps;makhchinus;Yes
Caniformia;None;Amphicynodontinae;Paraphyletic to ursidae;None;NA;Amphicticeps;shackelfordi;Yes
Caniformia;None;Amphicynodontinae;Paraphyletic to ursidae;None;NA;Amphicynodon;brachyrostris;Yes
Caniformia;None;Amphicynodontinae;Paraphyletic to ursidae;None;NA;Amphicynodon;cephalogalinus              ;Yes
Caniformia;None;Amphicynodontinae;Paraphyletic to ursidae;None;NA;Amphicynodon;chardini ;Yes
Caniformia;None;Amphicynodontinae;Paraphyletic to ursidae;None;NA;Amphicynodon;crassirostris              ;Yes
Caniformia;None;Amphicynodontinae;Paraphyletic to ursidae;None;NA;Amphicynodon;gracilis;Yes
Caniformia;None;Amphicynodontinae;Paraphyletic to ursidae;None;NA;Amphicynodon;leptorhynchus;Yes
Caniformia;None;Amphicynodontinae;Paraphyletic to ursidae;None;NA;Amphicynodon;teilhardi;Yes
Caniformia;None;Amphicynodontinae;Paraphyletic to ursidae;None;NA;Amphicynodon;typicus;Yes
Caniformia;None;Amphicynodontinae;Paraphyletic to ursidae;None;NA;Amphicynodon;velaunus;Yes
Caniformia;None;Amphicynodontinae;Paraphyletic to ursidae;None;NA;Drassonax;harpagops;Yes
Caniformia;None;Amphicynodontinae;Paraphyletic to ursidae;None;NA;Nothocyon;geismarianus;Yes
Caniformia;None;Amphicynodontinae;Paraphyletic to ursidae;None;NA;Pachycynodon;tedfordi;Yes
Caniformia;None;Amphicynodontinae;Paraphyletic to ursidae;None;NA;Parictis;dakotensis;Yes
Caniformia;None;Amphicynodontinae;Paraphyletic to ursidae;None;NA;Parictis;gilpini;Yes
Caniformia;None;Amphicynodontinae;Paraphyletic to ursidae;None;NA;Parictis;major;Yes
