"Aelurodon_asthenostylus" "Aelurodon_ferox" "Aelurodon_mcgrewi" "Aelurodon_montanensis" "Aelurodon_stirtoni" "Aelurodon_taxoides" "Aenocyon_dirus" "Archaeocyon_leptodus" "Archaeocyon_pavidus" "Borophagus_diversidens" "Borophagus_dudleyi" "Borophagus_hilli" "Borophagus_littoralis" "Borophagus_orc" "Borophagus_parvus" "Borophagus_pugnator" "Borophagus_secundus" "Canis_armbrusteri" "Canis_cedazoensis" "Canis_edwardii" "Canis_latrans" "Canis_lepophagus" "Canis_lupus" "Canis_rufus" "Canis_thooides" "Carpocyon_compressus" "Carpocyon_limosus" "Carpocyon_robustus" "Carpocyon_webbi" "Cerdocyon_texanus" "Chrysocyon_nearcticus" "Cormocyon_copei" "Cormocyon_haydeni" "Cuon_alpinus" "Cynarctoides_acridens" "Cynarctoides_emryi" "Cynarctoides_gawnae" "Cynarctoides_harlowi" "Cynarctoides_lemur" "Cynarctoides_luskensis" "Cynarctoides_whistleri" "Cynarctus_crucidens" "Cynarctus_galushai" "Cynarctus_marylandica" "Cynarctus_saxatilis" "Cynarctus_voorhiesi" "Cynarctus_wangi" "Cynodesmus_thooides" "Desmocyon_matthewi" "Desmocyon_thomsoni" "Ectopocynus_antiquus" "Ectopocynus_simplicidens" "Enhydrocyon_basilatus" "Enhydrocyon_crassidens" "Enhydrocyon_pahinsintewakpa" "Enhydrocyon_stenocephalus" "Epicyon_aelurodontoides" "Epicyon_haydeni" "Epicyon_saevus" "Eucyon_davisi" "Eucyon_ferox" "Eucyon_skinneri" "Euoplocyon_brachygnathus" "Euoplocyon_spissidens" "Ferrucyon_avius" "Hesperocyon_coloradensis" "Hesperocyon_gregarius" "Leptocyon_douglassi" "Leptocyon_gregorii" "Leptocyon_leidyi" "Leptocyon_matthewi" "Leptocyon_mollis" "Leptocyon_tejonensis" "Leptocyon_vafer" "Leptocyon_vulpinus" "Mesocyon_brachyops" "Mesocyon_coryphaeus" "Mesocyon_temnodon" "Metalopex_bakeri" "Metalopex_macconnelli" "Metalopex_merriami" "Metatomarctus_canavus" "Microtomarctus_conferta" "Osbornodon_brachypus" "Osbornodon_fricki" "Osbornodon_iamonensis" "Osbornodon_renjiei" "Osbornodon_scitulus" "Osbornodon_sesnoni" "Otarocyon_cooki" "Otarocyon_macdonaldi" "Oxetocyon_cuspidatus" "Paracynarctus_kelloggi" "Paracynarctus_sinclairi" "Paraenhydrocyon_josephi" "Paraenhydrocyon_robustus" "Paraenhydrocyon_wallovianus" "Paratomarctus_euthos" "Paratomarctus_temerarius" "Philotrox_condoni" "Phlaocyon_achoros" "Phlaocyon_annectens" "Phlaocyon_latidens" "Phlaocyon_leucosteus" "Phlaocyon_mariae" "Phlaocyon_marslandensis" "Phlaocyon_minor" "Phlaocyon_multicuspus" "Phlaocyon_yatkolai" "Protepicyon_raki" "Protocyon_troglodytes" "Protomarctus_optatus" "Psalidocyon_marianae" "Rhizocyon_oregonensis" "Sunkahetanka_geringensis" "Tephrocyon_rurestris" "Tomarctus_brevirostris" "Tomarctus_hippophaga" "Urocyon_cinereoargenteus" "Urocyon_citrinus" "Urocyon_galushai" "Urocyon_littoralis" "Urocyon_minicephalus" "Urocyon_progressus" "Urocyon_webbi" "Vulpes_kernensis" "Vulpes_lagopus" "Vulpes_macrotis" "Vulpes_stenognathus" "Vulpes_velox" "Vulpes_vulpes" "Xenocyon_lycaonoides" "Xenocyon_texanus"
"Aelurodon_asthenostylus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aelurodon_ferox" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aelurodon_mcgrewi" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aelurodon_montanensis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aelurodon_stirtoni" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aelurodon_taxoides" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aenocyon_dirus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Archaeocyon_leptodus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Archaeocyon_pavidus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Borophagus_diversidens" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
