"species","Diet","LD1","LD2","log_mass"
"Aelurodon_asthenostylus",1,-2.95785963528007,2.39202628719444,1.627
"Aelurodon_ferox",1,-3.88172846358814,2.7284948076792,1.744
"Aelurodon_mcgrewi",1,-3.35019261291395,2.80393294537425,1.69
"Aelurodon_montanensis",1,-3.76374723540207,3.14016672887852,1.796
"Aelurodon_stirtoni",1,-4.70666432798752,4.16166251940009,1.628
"Aelurodon_taxoides",1,-3.83234306855657,2.69838352106377,1.809
"Aenocyon_dirus",1,-3.64441299188593,1.52288539070238,1.689
"Archaeocyon_leptodus",2,-0.540017098145551,-0.189389229763327,0.581
"Archaeocyon_pavidus",2,0.32168048018613,-0.441251487478891,0.342
"Borophagus_diversidens",1,-2.81077446317267,3.40746142771084,1.897
"Borophagus_dudleyi",1,-3.37007522688112,3.80345123218628,1.949
"Borophagus_hilli",1,-2.58527307599465,3.61780577275092,1.811
"Borophagus_littoralis",2,-1.29707983509488,1.64043186718984,1.668
"Borophagus_orc",1,-2.30691418618981,2.53616820679638,1.484
"Borophagus_parvus",1,-2.21248772400657,2.68322563331924,1.517
"Borophagus_pugnator",1,-1.78251248289061,1.99076770033714,1.681
"Borophagus_secundus",1,-2.4854750036524,3.31608836522124,1.691
"Canis_armbrusteri",1,-1.97583647411887,1.37825534962722,1.57
"Canis_cedazoensis",2,-1.30438833636995,-0.280177908645763,1.061
"Canis_edwardii",2,-1.81189998380179,0.14721041120677,1.349
"Canis_latrans",2,-2.14166554308837,0.360943351980638,1.127
"Canis_lepophagus",2,-2.12942272269885,0.667184561536113,1.175
"Canis_lupus",1,-2.71284952258758,1.10466121981725,1.508
"Canis_rufus",2,-2.04079357493148,0.396383985859142,1.361
"Canis_thooides",2,-1.42215807539521,-0.130694443640539,1.049
"Carpocyon_compressus",2,-0.772375460602997,0.9647845237429,1.369
"Carpocyon_limosus",2,-0.922133831591731,0.885592540629282,1.274
"Carpocyon_robustus",1,-1.77810122855036,1.5845196603959,1.496
"Carpocyon_webbi",2,-1.44432532718192,1.34448597802798,1.547
"Cerdocyon_texanus",2,-0.085591060834968,-0.762486951154596,0.833
"Chrysocyon_nearcticus",1,-2.36213748910904,0.849074913555636,1.266
"Cormocyon_copei",2,0.365409076710086,-0.946643400073717,0.725
"Cormocyon_haydeni",2,-0.259415897701319,-0.289478416905247,0.707
"Cuon_alpinus",1,-3.90155518474905,1.77858638524773,1.106
"Cynarctoides_acridens",2,-0.026302075362884,-0.013259356669341,0.472
"Cynarctoides_emryi",3,2.91498984716785,-2.98732076778628,0.364
"Cynarctoides_gawnae",2,-0.012458581560607,-0.636663346191351,0.376
"Cynarctoides_harlowi",2,0.847640129838846,-1.24676952045516,0.228
"Cynarctoides_lemur",2,0.686931757630294,-1.74354809873103,0.353
"Cynarctoides_luskensis",3,0.959632721366914,-0.402766978132387,0.382
"Cynarctoides_whistleri",2,0.635052848154938,-0.992413434703796,0.228
"Cynarctus_crucidens",3,3.73463574663551,-1.50380862041685,0.706
"Cynarctus_galushai",2,-0.322539310285766,0.444259142200598,1.056
"Cynarctus_marylandica",3,0.986703313192195,-0.102283169232503,1.021
"Cynarctus_saxatilis",3,2.86549807611817,-1.54377163218147,1.131
"Cynarctus_voorhiesi",3,3.12639961759327,-0.196783464538785,0.936
"Cynarctus_wangi",3,1.40137897641953,-0.275373479971147,1.009
"Cynodesmus_thooides",2,-1.94545643785742,1.0588455910997,1.162
"Desmocyon_matthewi",2,-0.671749113103129,0.24707739571903,1.039
"Desmocyon_thomsoni",2,-0.635283596281822,0.581313771311412,0.959
"Ectopocynus_antiquus",2,-1.90020268243244,-0.007420540298789,1.138
"Ectopocynus_simplicidens",1,-4.19939747704188,3.33245351338433,1.526
"Enhydrocyon_basilatus",1,-4.63768843793823,3.86169636823881,1.628
"Enhydrocyon_crassidens",1,-4.9125644415876,3.1455347386452,1.583
"Enhydrocyon_pahinsintewakpa",1,-3.79398302009643,2.25706355474241,1.441
"Enhydrocyon_stenocephalus",1,-3.2608695771739,1.99436910713065,1.424
"Epicyon_aelurodontoides",1,-3.42174012838536,3.30963977399493,1.93
"Epicyon_haydeni",1,-3.44944982233622,2.60896293599945,1.988
"Epicyon_saevus",1,-2.32367033201163,2.38203313651759,1.749
"Eucyon_davisi",2,-1.04542617390379,-0.86214616677429,1
"Eucyon_ferox",2,-2.47640894875075,-0.218782767570725,1.133
"Eucyon_skinneri",2,0.121738016797059,-1.63490475056656,0.85
"Euoplocyon_brachygnathus",1,-3.01495167139456,0.950389593766896,1.235
"Euoplocyon_spissidens",2,-0.031812141915173,-0.642958088014634,1.143
"Ferrucyon_avius",2,-0.161296415086878,-1.06972184166069,0.676
"Hesperocyon_coloradensis",2,-2.6069924746814,-0.436114443737879,0.782
"Hesperocyon_gregarius",2,-1.18341706559991,-0.391569611581564,0.622
