"";"Taxon";"Region";"MinAge";"MaxAge";"Locality";"max.age";"min.age"
"1";"Eritherium azzouzorum";"Africa";56;59,2;"Sidi Chennane_siteSet_1";59,2;56
"2";"Daouitherium rebouli";"Africa";53;56;"Grand Daoui Quarries - Ouled Abdoun Basin_siteSet_1";56;53
"3";"Phosphatherium escuilliei";"Africa";53;56;"Grand Daoui Quarries - Ouled Abdoun Basin_siteSet_1";56;53
"4";"Khamsaconus bulbosus";"Africa";52,5;53;"N'Tagourt 2, Ouazarzate_siteSet_1";53;52,5
"5";"Numidotherium koholense";"Africa";51;52;"El Kohol_siteSet_1";52;51
"6";"Moeritherium chehbeurameuri";"Africa";38;39;"Bir El Ater_siteSet_1";39;38
"7";"Moeritherium lyonsi";"Africa";38;39;"Dor et Talah - Evaporite Unit_siteSet_1";39;32
"8";"Numidotherium savagei";"Africa";38;39;"Dor et Talah - Evaporite Unit_siteSet_1";39;38
"9";"Barytherium grave";"Africa";38;39;"Dor et Talah - Idam Unit_siteSet_1";39;32
"10";"Moeritherium trigodon";"Africa";38;39;"Dor et Talah - Idam Unit_siteSet_1";39;32
"11";"Palaeomastodon beadnelli";"Africa";32;35,8;"NNW of Birket Qarun_siteSet_1";35,8;32
"12";"Phiomia serridens";"Africa";32;35,8;"NNW of Birket Qarun_siteSet_1";35,8;32
"13";"Moeritherium andrewsi";"Africa";27,8;33,9;"Fayum 1_siteSet_1";33,9;27,8
"14";"Omanitherium dhofarensis";"Africa";28,4;33,9;"DPP-2010-1_siteSet_1";33,9;28,4
"15";"Gomphotherium basal";"Africa";28;29;"Harrat Al Ujayfa_siteSet_1";29;22,1
"16";"Chilgatherium harrisi";"Africa";27;28;"Chilga_siteSet_1";28;27
"17";"Phiomia major";"Africa";27;28;"Chilga_siteSet_1";28;27
"18";"Eritreum melakeghebrekristosi";"Africa";26,8;28;"Dogali_siteSet_1";28;26,8
"19";"Losodokodon losodokius";"Africa";24,2;27,5;"Benson's Site_siteSet_1";27,5;24,2
"20";"Hemimastodon crepusculi";"Asia";25;27;"Dera Bugti Level J_siteSet_1";27;25
"21";"Prodeinotherium hobleyi";"Africa";22,1;24,6;"Mai Gobro 1_siteSet_1";24,6;7,25
"22";"Prodeinotherium pentapotamiae";"Asia";20,5;23,8;"Kangra Valley_siteSet_1";23,8;11,2
"23";"Eozygodon morotoensis";"Africa";20,5;23,8;"Moroto I_siteSet_1";23,8;17
"24";"Progomphotherium maraisi";"Africa";20,6;21;"Moroto II_siteSet_1";21;19
"25";"Archaeobelodon filholi";"Africa";19,2;20,5;"Mwiti_siteSet_1";20,5;11,2
"26";"Gomphotherium angustidens";"Africa";15,97;20,44;"Siwa_siteSet_1";20,44;7,1
"27";"Platybelodon dangheensis";"Asia";18,317;20,162;"Danghe-xishuigou_siteSet_1";20,162;18,317
"28";"Choerolophodon corrugatus";"Asia";17,2;19,5;"Dera Bugti 5_siteSet_1";19,5;7
"29";"Gomphotherium cooperi";"Asia";17,2;19,5;"Dera Bugti 5_siteSet_1";19,5;16,4
"30";"Prodeinotherium bavaricum";"Europe";18,4;19,5;"Gavathas_siteSet_1";19,5;7,1
"31";"Gomphotherium hannibali";"Europe";16,4;19,5;"Le Mazet_siteSet_1";19,5;16,4
"32";"Gomphotherium sylvaticum";"Europe";17,2;19,5;"Navère_siteSet_1";19,5;16,4
"33";"Afrochoerodon kisumuensis";"Africa";19;19,16;"Bukwa_siteSet_1";19,16;11,63
"34";"Gomphotherium mongoliense";"Asia";15,6;18,45;"Ulan-Tologoj_siteSet_1";18,45;13,82
"35";"Miomastodon gobiensis";"Asia";15,6;18,45;"Ulan-Tologoj_siteSet_1";18,45;7,1
"36";"Stegolophodon pseudolatidens";"Asia";17;18,3;"Kusebara_siteSet_1";18,3;16
"37";"Zygolophodon aegyptensis";"Africa";17;18;"Wadi Moghara_siteSet_1";18;17
"38";"Zygolophodon turicensis";"Europe";15,2;18;"Bourg-Saint-Bernard_siteSet_1";18;6,7
"39";"Stegolophodon hueiheensis";"Asia";16;18;"Sihong-shuanggou_siteSet_1";18;16
"40";"Gomphotherium subtapiroideum";"Europe";16,4;17,2;"Baggersee Freudenegg 3_siteSet_1";17,2;9,5
"41";"Gomphotherium annectens";"Asia";16,4;17,2;"Bestobe_siteSet_1";17,2;16,4
"42";"Gomphotherium browni";"Asia";16,4;17,2;"Dera Bugti 6_siteSet_1";17,2;13,094
"43";"Miomastodon metachinjiensis";"Asia";16,4;17,2;"Dera Bugti 6_siteSet_1";17,2;16,4
