"species","Data_type","Size_Est"
"Aelurodon_asthenostylus","Inferred_teeth",1.627
"Aelurodon_ferox","Inferred_teeth",1.744
"Aelurodon_mcgrewi","Inferred_teeth",1.69
"Aelurodon_montanensis","Inferred_teeth",1.796
"Aelurodon_stirtoni","Inferred_teeth",1.628
"Aelurodon_taxoides","Inferred_teeth",1.809
"Aenocyon_dirus","Inferred_teeth",1.689
"Archaeocyon_leptodus","Inferred_teeth",0.581
"Archaeocyon_pavidus","Inferred_teeth",0.342
"Borophagus_diversidens","Inferred_teeth",1.897
"Borophagus_dudleyi","Inferred_teeth",1.949
"Borophagus_hilli","Inferred_teeth",1.811
"Borophagus_littoralis","Inferred_teeth",1.668
"Borophagus_orc","Inferred_teeth",1.484
"Borophagus_parvus","Inferred_teeth",1.517
"Borophagus_pugnator","Inferred_teeth",1.681
"Borophagus_secundus","Inferred_teeth",1.691
"Canis_armbrusteri","Inferred_teeth",1.57
"Canis_cedazoensis","Inferred_teeth",1.061
"Canis_edwardii","Inferred_teeth",1.349
"Canis_latrans","Measured",1.127
"Canis_lepophagus","Inferred_teeth",1.175
"Canis_lupus","Measured",1.508
"Canis_rufus","Measured",1.361
"Canis_thooides","Inferred_teeth",1.049
"Carpocyon_compressus","Inferred_teeth",1.369
"Carpocyon_limosus","Inferred_teeth",1.274
"Carpocyon_robustus","Inferred_teeth",1.496
"Carpocyon_webbi","Inferred_teeth",1.547
"Cerdocyon_texanus","Inferred_teeth",0.833
"Chrysocyon_nearcticus","Inferred_teeth",1.266
"Cormocyon_copei","Inferred_teeth",0.725
"Cormocyon_haydeni","Inferred_teeth",0.707
"Cuon_alpinus","Measured",1.106
"Cynarctoides_acridens","Inferred_teeth",0.472
"Cynarctoides_emryi","Inferred_teeth",0.364
"Cynarctoides_gawnae","Inferred_teeth",0.376
"Cynarctoides_harlowi","Inferred_teeth",0.228
"Cynarctoides_lemur","Inferred_teeth",0.353
"Cynarctoides_luskensis","Inferred_teeth",0.382
"Cynarctoides_whistleri","Inferred_teeth",0.228
"Cynarctus_crucidens","Inferred_teeth",0.706
"Cynarctus_galushai","Inferred_teeth",1.056
"Cynarctus_marylandica","Inferred_Phylogeny",1.021
"Cynarctus_saxatilis","Inferred_teeth",1.131
"Cynarctus_voorhiesi","Inferred_teeth",0.936
"Cynarctus_wangi","Inferred_Phylogeny",1.009
"Cynodesmus_thooides","Inferred_teeth",1.162
"Desmocyon_matthewi","Inferred_teeth",1.039
"Desmocyon_thomsoni","Inferred_teeth",0.959
"Ectopocynus_antiquus","Inferred_teeth",1.138
"Ectopocynus_simplicidens","Inferred_teeth",1.526
"Enhydrocyon_basilatus","Inferred_teeth",1.628
"Enhydrocyon_crassidens","Inferred_teeth",1.583
"Enhydrocyon_pahinsintewakpa","Inferred_teeth",1.441
"Enhydrocyon_stenocephalus","Inferred_teeth",1.424
"Epicyon_aelurodontoides","Inferred_teeth",1.93
"Epicyon_haydeni","Inferred_teeth",1.988
"Epicyon_saevus","Inferred_teeth",1.749
"Eucyon_davisi","Inferred_teeth",1
"Eucyon_ferox","Inferred_teeth",1.133
"Eucyon_skinneri","Inferred_teeth",0.85
"Euoplocyon_brachygnathus","Inferred_teeth",1.235
"Euoplocyon_spissidens","Inferred_teeth",1.143
"Ferrucyon_avius","Inferred_teeth",0.676
"Hesperocyon_coloradensis","Inferred_teeth",0.782
"Hesperocyon_gregarius","Inferred_teeth",0.622
"Leptocyon_douglassi","Inferred_teeth",0.542
"Leptocyon_gregorii","Inferred_teeth",0.574
