"","species","MaxT","MinT","lng","lat","Site","max_low_res","min_low_res","site.char","midpoint","max_index","min_index","max_T","min_T"
"1","Hesperocyon_gregarius",37,33.9,-107.099998,43.200001,16891,37,33.9,"site_16891",NA,NA,NA,37,33.9
"2","Hesperocyon_gregarius",37,33.9,-107.099998,43.200001,16898,37,33.9,"site_16898",NA,NA,NA,37,33.9
"3","Hesperocyon_gregarius",37,33.9,-103.099998,42.799999,16918,37,33.9,"site_16918",NA,NA,NA,37,33.9
"4","Hesperocyon_gregarius",37,33.9,-109.883331,49.566666,16919,37,33.9,"site_16919",NA,NA,NA,37,33.9
"5","Hesperocyon_gregarius",37,33.9,-112.099998,46.599998,16924,37,33.9,"site_16924",NA,NA,NA,37,33.9
"6","Hesperocyon_gregarius",37,33.9,-111.300003,46.099998,16925,37,33.9,"site_16925",NA,NA,NA,37,33.9
"7","Hesperocyon_gregarius",37,33.9,-103.800003,42.400002,16929,37,33.9,"site_16929",NA,NA,NA,37,33.9
"8","Hesperocyon_gregarius",37,33.9,-103.400002,42.799999,16930,37,33.9,"site_16930",NA,NA,NA,37,33.9
"9","Hesperocyon_gregarius",37,33.9,-104.5,43,16932,37,33.9,"site_16932",NA,NA,NA,37,33.9
"10","Hesperocyon_gregarius",37,33.9,-105.199997,42.900002,16943,37,33.9,"site_16943",NA,NA,NA,37,33.9
"11","Hesperocyon_gregarius",37,33.9,-112,46,16959,37,33.9,"site_16959",NA,NA,NA,37,33.9
"12","Hesperocyon_gregarius",37,33.9,-107.099998,43.200001,16961,37,33.9,"site_16961",NA,NA,NA,37,33.9
"13","Hesperocyon_gregarius",37,33.9,-107.099998,43.200001,16962,37,33.9,"site_16962",NA,NA,NA,37,33.9
"14","Hesperocyon_gregarius",37,33.9,-107.099998,43.200001,16963,37,33.9,"site_16963",NA,NA,NA,37,33.9
"15","Hesperocyon_gregarius",37,33.9,-107.099998,43.200001,16964,37,33.9,"site_16964",NA,NA,NA,37,33.9
"16","Hesperocyon_gregarius",37,33.9,-104.5,43,16974,37,33.9,"site_16974",NA,NA,NA,37,33.9
"17","Hesperocyon_gregarius",37,33.9,-103.099998,40.799999,16977,37,33.9,"site_16977",NA,NA,NA,37,33.9
"18","Hesperocyon_gregarius",37,33.9,-103.800003,42.400002,16985,37,33.9,"site_16985",NA,NA,NA,37,33.9
"19","Hesperocyon_gregarius",37,33.9,-112,46,16988,37,33.9,"site_16988",NA,NA,NA,37,33.9
"20","Hesperocyon_gregarius",37,33.9,-103.800003,42.400002,16995,37,33.9,"site_16995",NA,NA,NA,37,33.9
"21","Hesperocyon_gregarius",37,33.9,-112,46,16997,37,33.9,"site_16997",NA,NA,NA,37,33.9
"22","Hesperocyon_gregarius",37,33.9,-104.5,43,16998,37,33.9,"site_16998",NA,NA,NA,37,33.9
"23","Hesperocyon_gregarius",37,33.9,-103.099998,42.799999,17003,37,33.9,"site_17003",NA,NA,NA,37,33.9
"24","Hesperocyon_gregarius",37,33.9,-102.5,43.299999,17006,37,33.9,"site_17006",NA,NA,NA,37,33.9
"25","Hesperocyon_gregarius",37,33.9,-102.5,43.299999,17007,37,33.9,"site_17007",NA,NA,NA,37,33.9
"26","Hesperocyon_gregarius",37,33.9,-112.253304,45.896999,17010,37,33.9,"site_17010",NA,NA,NA,37,33.9
"27","Hesperocyon_gregarius",37,33.9,-104.5,43,17017,37,33.9,"site_17017",NA,NA,NA,37,33.9
"28","Hesperocyon_gregarius",37,33.9,-104.5,43,17022,37,33.9,"site_17022",NA,NA,NA,37,33.9
"29","Hesperocyon_gregarius",37,33.9,-104.5,43,17024,37,33.9,"site_17024",NA,NA,NA,37,33.9
"30","Hesperocyon_gregarius",37,33.9,-103.800003,42.400002,17025,37,33.9,"site_17025",NA,NA,NA,37,33.9
"31","Hesperocyon_gregarius",37,33.9,-111,45.700001,17028,37,33.9,"site_17028",NA,NA,NA,37,33.9
"32","Hesperocyon_gregarius",37,33.9,-103.800003,42.400002,17038,37,33.9,"site_17038",NA,NA,NA,37,33.9
"33","Hesperocyon_gregarius",37,33.9,-102.800003,46.900002,17042,37,33.9,"site_17042",NA,NA,NA,37,33.9
"34","Hesperocyon_gregarius",37,33.9,-104.5,43,17044,37,33.9,"site_17044",NA,NA,NA,37,33.9
