species;status;m1;RBL;RLGA;M1BS;M2S;p4S
Aelurodon_asthenostylus;extinct;25.58585887;0.723438179;0.654276131;0.122617197;0.3608017;0.596428341
Aelurodon_ferox;extinct;28.24879975;0.742780764;0.597914128;0.123010551;0.334820018;0.600083851
Aelurodon_mcgrewi;extinct;25.64484037;0.727230443;0.626696251;0.123671576;0.343435514;0.640670675
Aelurodon_montanensis;extinct;28.97343588;0.748;NA;NA;NA;NA
Aelurodon_stirtoni;extinct;24.71724145;0.772914728;0.552047138;0.140908888;0.318092383;0.634190564
Aelurodon_taxoides;extinct;30.06076303;0.759994707;0.600231915;0.121448584;0.365504815;0.55750088
Aenocyon_dirus;extinct;34.11929116;0.73186375;0.630161842;0.119832684;0.331224511;0.481225277
Archaeocyon_leptodus;extinct;9.332543008;0.668210911;0.851066029;0.103571062;0.446304367;0.440118226
Archaeocyon_pavidus;extinct;7.362070975;0.635560419;0.915529461;0.09900548;0.459091312;0.49386596
Borophagus_diversidens;extinct;32.88516309;0.715488428;0.569801227;0.138262532;0.316480642;0.721139167
Borophagus_dudleyi;extinct;34.51437393;NA;NA;NA;NA;NA
Borophagus_hilli;extinct;29.85382619;0.709363534;0.629382151;0.141210375;0.333441943;0.724576614
Borophagus_littoralis;extinct;26.48500139;0.67;NA;NA;NA;NA
Borophagus_orc;extinct;22.1309471;0.727516779;0.646959285;NA;0.383640922;0.585842148
Borophagus_parvus;extinct;23.76840287;0.698751479;0.690329817;0.129445625;0.360460585;0.661389901
Borophagus_pugnator;extinct;26.85344446;0.700715687;0.668534587;0.127582868;0.371125372;0.59600519
Borophagus_secundus;extinct;26.91534804;0.717695943;0.704539849;0.132796507;0.382882892;0.664811744
Canis_armbrusteri;extinct;29.51209227;0.691810051;0.730566147;0.118543131;0.375589122;0.547880714
Canis_cedazoensis;extinct;18.66379691;NA;NA;NA;NA;NA
Canis_edwardii;extinct;24.94594727;0.683013956;0.739663455;0.113077004;0.36788329;0.440193185
Canis_latrans;extant;21.62718524;0.696410526;0.72673408;0.109582499;0.376857243;0.447495845
Canis_lepophagus;extinct;20.60629913;0.707927026;0.8183264;0.110527988;0.424808388;0.406011925
Canis_lupus;extant;26.24218543;0.707927026;0.676071589;0.110527988;0.359635579;0.521573528
Canis_rufus;extant;23.06747189;NA;NA;NA;NA;NA
Canis_thooides;extinct;18.36538343;0.686476212;0.775155165;0.10327224;0.412657979;0.42562724
Carpocyon_compressus;extinct;20.94112456;0.661841629;0.839054691;0.110303402;0.424729129;0.573154611
Carpocyon_limosus;extinct;19.09853259;NA;NA;NA;NA;NA
Carpocyon_robustus;extinct;23.82319469;0.691691469;0.756373081;0.11606935;0.397774488;0.573820992
Carpocyon_webbi;extinct;24.66039337;0.692075845;0.792827226;0.112253559;0.427393886;0.545929552
Cerdocyon_texanus;extinct;14.65547841;0.642083897;0.894426694;0.104354519;0.433440254;0.419871795
Chrysocyon_nearcticus;extinct;21.87761624;0.714;NA;NA;NA;NA
Cormocyon_copei;extinct;11.09174815;0.614145031;0.940906487;0.090909091;0.443476726;0.509202454
Cormocyon_haydeni;extinct;10.47128548;0.674973977;0.866141002;0.10275579;0.473562804;0.410180661
Cuon_alpinus;extinct;22.1819642;0.743259968;0.578336219;0.123735712;0.317889371;0.488664897
Cynarctoides_acridens;extinct;8.433347578;0.657;1.055583787;0.092715901;0.533066765;0.442086697
Cynarctoides_emryi;extinct;7.6207901;0.541;NA;NA;NA;NA
Cynarctoides_gawnae;extinct;7.99834255;0.675;0.897295143;0.100201207;0.494271574;0.366229624
Cynarctoides_harlowi;extinct;6.60693448;0.62;NA;NA;NA;NA
