occurrence_no,record_type,reid_no,flags,collection_no,accepted_name,accepted_attr,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,ref_author,ref_pubyr,reference_no,phylum,phylum_no,class,class_no,order,order_no,family,family_no,genus,genus_no,subgenus_no,plant_organ,plant_organ2,abund_value,abund_unit,lng,lat,occurrence_comments,collection_name,collection_subset,collection_aka,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,geoplate,paleoage,paleolng,paleolat,paleomodel2,geoplate2,paleoage2,paleolng2,paleolat2,paleomodel3,geoplate3,paleoage3,paleolng3,paleolat3,cc,protected,formation,stratgroup,member,stratscale,zone,localsection,localbed,localbedunit,localorder,regionalsection,regionalbed,regionalbedunit,regionalorder,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,environment,tectonic_setting,geology_comments,assembl_comps,articulated_parts,associated_parts,common_body_parts,rare_body_parts,feed_pred_traces,artifacts,component_comments,pres_mode,preservation_quality,spatial_resolution,temporal_resolution,lagerstatten,concentration,orientation,abund_in_sediment,sorting,fragmentation,bioerosion,encrustation,preservation_comments,collection_type,collection_methods,museum,collection_coverage,collection_size,rock_censused,collectors,collection_dates,collection_comments,taxonomy_comments,taxon_environment,environment_basis,motility,motility_basis,life_habit,life_habit_basis,vision,vision_basis,diet,diet_basis,reproduction,reproduction_basis,ontogeny,ontogeny_basis,ecospace_comments,composition,architecture,thickness,reinforcement,taphonomy_basis,phylum,phylum_no,class,class_no,order,order_no,family,family_no,genus,genus_no,subgenus_no,primary_name,primary_reso,subgenus_name,subgenus_reso,species_name,species_reso,image_no,formation,stratgroup,member,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,time_bins,time_contain,time_major,time_buffer,time_overlap,research_group,primary_reference,authorizer_no,enterer_no,modifier_no,authorizer,enterer,modifier,created,modified
176227,occ,3083,,16626,Hesperocyon,,genus,41217,Late Uintan,,46.2,39.7,Bryant,1991,1139,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Hesperocyon,41217,,,,1,specimens,-107.599998,50.200001,,Swift Current Creek,,,CA,Saskatchewan,,based on nearby landmark,1,outcrop,13 mi. ESE of Swift Current,gplates,101,mid,-83.75,56.77,scotese,101,mid,-94.83,52.77,seton,101,mid,-93.79,50.59,CA,,Cypress Hills,,,group of beds,,,,,,,,,,"locality occurs ""in the upper beds"" of a 15 m section","""unconsolidated lens"" in a formation of ""sands, gravels, and conglomerates and sandstones with calcareous cement""",sandstone,,,,,conglomerate,,,,,fluvial indet.,,"environment of formation was ""braided streams""","macrofossils,mesofossils",,,,,,,,body,,,,,,,,,,,,,taxonomic,"bulk,surface (float),sieve,field collection,survey of museum collection",,,997 specimens,,,,,"includes a single quarry\nreported NISP of 1120, but 125 are of generically indeterminate taxa, for a total of 995\ntype of ""Trigenicus"" mammifer mentioned by Frick 1937 and Scott 1940 probably from Calf Creek or another Chadronian locality",terrestrial,Eutheria,actively mobile,Osteichthyes,ground dwelling,Canidae,,,"carnivore, omnivore",Canidae,viviparous,Theria,,,,phosphatic,,,,Vertebrata,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Hesperocyon,41217,,Hesperocyon,,,,sp.,,471,Cypress Hills,,,"""unconsolidated lens"" in a formation of ""sands, gravels, and conglomerates and sandstones with calcareous cement""",sandstone,,,,,conglomerate,,,,,Lutetian,-,Lutetian,"Lutetian, Bartonian","Lutetian, Bartonian",vertebrate,H. N. Bryant. 1991. Reidentification of the Chadronian supposed didelphid marsupial Alloeodectes mcgrewi as part of the deciduous dentition of the canid Hesperocyon. Canadian Journal of Earth Sciences 28,4,4,0,J. Alroy,J. Alroy,,6/3/02 0:35,6/3/02 2:35
177551,occ,,,16840,Hesperocyon,,genus,41217,Duchesnean,Chadronian,39.7,33.9,Tabrum et al.,1996,3359,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Hesperocyon,41217,,,,,,-112.800003,45,,Diamond O Ranch,,"MV 6726, MV 6727, MV 6728, MV 6729, MV 6730",US,Montana,Beaverhead,based on political unit,1,small collection,2 mi W of Beaverheard Rock,gplates,127,mid,-95.46,51.92,scotese,132,mid,-103.01,46.62,seton,199,mid,-102.47,45.9,US,FED,Renova,,Climbing Arrow,,,JeffB,1,,bottom to top,,,,,,,,,,,,,,,,,terrestrial indet.,,,,,,,,,,,body,,,,,,,,,,,,,biostratigraphic,,,,,,,,,"many of the small mammals are from MV 6726<br>apparently does not include Burnt Hills, which is in Madison County<br>said to be ""very near the Duchesnean/Chadronian boundary""",terrestrial,Eutheria,actively mobile,Osteichthyes,ground dwelling,Canidae,,,"carnivore, omnivore",Canidae,viviparous,Theria,,,,phosphatic,,,,Vertebrata,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Hesperocyon,41217,,Hesperocyon,?,,,sp.,,471,Renova,,Climbing Arrow,,,,,,,,,,,,Priabonian,-,Priabonian,"Bartonian, Priabonian","Bartonian, Priabonian",vertebrate,"A. R. Tabrum, D. R. Prothero, and D. Garcia. 1996. Magnetostratigraphy and biostratigraphy of the Eocene-Oligocene transition, southwestern Montana.  In D. R. Prothero and R. J. Emry (eds.), The Terrestrial Eocene-Oligocene Transition in North America",4,4,0,J. Alroy,J. Alroy,,5/15/02 0:00,5/15/02 2:00
177611,occ,3336,,16845,Hesperocyon gregarius,,species,44845,Duchesnean,,39.7,37,Wang,1994,6226,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Hesperocyon,41217,,,,,,-107.900002,50,,Lac Pelletier Lower Fauna,,"SMNH Locs. 72G13-001, -003, -005, -006, -009, 72J04-001, 004, -006",CA,Saskatchewan,,based on nearby landmark,1,small collection,23 km SSW of Swift Current,gplates,101,mid,-86.94,56.36,scotese,101,mid,-97.29,51.92,seton,101,mid,-96.12,50.49,CA,,Cypress Hills,,,,,LacPl,1,,bottom to top,,,,,,,,,,,,,,,,,terrestrial indet.,,,"macrofossils,mesofossils",,,,,,,,body,,,,,,,,,,,,,,,,,2000 specimens,,,,,"small mammals other than rodents and lagomorphs described by Storer 1995b<br>most specimens from 72J04-0006<br>""Peradectes cf. minutus"" is omitted by Storer 1996 and  may be included in any of the four marsupials in this fauna<br><br>""? Ankylodon sp."" is omitted by Storer 1995b, 1996 and may  be either Talpavus or Sespedectes<br><br>""cf. Campylocynodon sp.""; not mentioned by Bryant 1992 or  Storer 1996, and a junior synonym of Parictis<br><br>""cf. Mustelavus sp."" is omitted by Storer 1996",terrestrial,Eutheria,actively mobile,Osteichthyes,ground dwelling,Canidae,,,"carnivore, omnivore",Canidae,viviparous,Theria,,,,phosphatic,,,,Vertebrata,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Hesperocyon,41217,,Hesperocyon,,,,gregarius,cf.,471,Cypress Hills,,,,,,,,,,,,,,Bartonian,-,Bartonian,"Bartonian, Priabonian","Bartonian, Priabonian",vertebrate,X. Wang. 1994. Phylogenetic systematics of the Hesperocyoninae (Carnivora: Canidae). Bulletin of the American Museum of Natural History 221:1-207,4,4,0,J. Alroy,J. Alroy,,6/3/02 0:35,6/3/02 2:35
177863,occ,3406,,16888,Prohesperocyon wilsoni,,species,46917,Chadronian,,37,33.9,Gustafson,1986,1758,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Prohesperocyon,41236,,,,,,-104.199997,29.9,,Airstrip (TMM 40504),,,US,Texas,Presidio,based on political unit,1,small collection,,gplates,101,mid,-89.99,35.83,scotese,101,mid,-96.72,31.34,seton,101,mid,-96.09,30.16,US,,Capote Mountain Tuff,,,,,Vieja,8,,bottom to top,,,,,,,,,,,,,,,,,terrestrial indet.,,,,,,,,,,,body,,,,,,,,,,,,,,,TMM,,,,,,,"Hyracodon sp. and ""? Prodesmatochoerus cf. meekae"" are at other Airstrip localities (see)",terrestrial,Eutheria,actively mobile,Osteichthyes,ground dwelling,Canidae,,,"carnivore, omnivore",Canidae,viviparous,Theria,,,,phosphatic,,,,Vertebrata,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Prohesperocyon,41236,,Prohesperocyon,,,,wilsoni,,378,Capote Mountain Tuff,,,,,,,,,,,,,,Priabonian,Priabonian,Priabonian,Priabonian,Priabonian,vertebrate,E. P. Gustafson. 1986. Carnivorous mammals of the Late Eocene and Early Oligocene of Trans-Pecos Texas. Texas Memorial Museum Bulletin 33:1-66,4,4,0,J. Alroy,J. Alroy,,6/3/02 0:35,6/3/02 2:35
177871,occ,,,16891,Hesperocyon gregarius,,species,44845,Chadronian,,37,33.9,Wang,1994,6226,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Hesperocyon,41217,,,,,,-107.099998,43.200001,"""Chadronian"" from 6 mi NW and 3 mi NW of Alcova",Alcova,,,US,Wyoming,Natrona,based on political unit,1,,Bates Hole,gplates,101,mid,-90.2,49.33,scotese,101,mid,-98.45,44.77,seton,101,mid,-97.27,43.63,US,FED,,,,,,,,,,,,,,,,,,,,,,,,,,terrestrial indet.,,,,,,,,,,,body,,,,,,,,,,,,,taxonomic,,,some genera,,,,,,apparently a synonym of Flagstaff Rim,terrestrial,Eutheria,actively mobile,Osteichthyes,ground dwelling,Canidae,,,"carnivore, omnivore",Canidae,viviparous,Theria,,,,phosphatic,,,,Vertebrata,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Hesperocyon,41217,,Hesperocyon,,,,gregarius,,471,,,,,,,,,,,,,,,Priabonian,Priabonian,Priabonian,Priabonian,Priabonian,vertebrate,X. Wang. 1994. Phylogenetic systematics of the Hesperocyoninae (Carnivora: Canidae). Bulletin of the American Museum of Natural History 221:1-207,4,4,0,J. Alroy,J. Alroy,,5/15/02 0:00,5/15/02 2:00
177897,occ,,,16896,Hesperocyon gregarius,,species,44845,Chadronian,,37,33.9,Harshman,1972,1803,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Hesperocyon,41217,,,,,,-107.099998,43.200001,"includes ""H. cf. paterculus""",Bates Hole Lower White River 1,,,US,Wyoming,Natrona,based on political unit,1,,,gplates,101,mid,-90.2,49.33,scotese,101,mid,-98.45,44.77,seton,101,mid,-97.27,43.63,US,FED,White River,,lower,,,Bates,1,,bottom to top,,,,,,,,,,,,,,,,,terrestrial indet.,,,,,,,,,,,body,,,,,,,,,,,,,,,,,,,,,,same unit dated by Zielinski and Naeser 1977 at 32.1 +/- 1.5 and 32.4 +/- 1.3 Ma using FT on zircon; first locality is only about 2-4 mi N of the fauna,terrestrial,Eutheria,actively mobile,Osteichthyes,ground dwelling,Canidae,,,"carnivore, omnivore",Canidae,viviparous,Theria,,,,phosphatic,,,,Vertebrata,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Hesperocyon,41217,,Hesperocyon,,,,gregarius,cf.,471,White River,,lower,,,,,,,,,,,,Priabonian,Priabonian,Priabonian,Priabonian,Priabonian,vertebrate,"E. N. Harshman. 1972. Geology and uranium deposits, Shirley Basin area, Wyoming. United States Geological Survey Professional Paper 745:1-82",4,4,0,J. Alroy,J. Alroy,,5/15/02 0:00,5/15/02 2:00
177901,occ,3419,,16898,Hesperocyon gregarius,,species,44845,Chadronian,,37,33.9,Alroy,2002,6294,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Hesperocyon,41217,,,,,,-107.099998,43.200001,,Bates Hole (Reed Collection),,,US,Wyoming,Natrona,based on political unit,1,,county assignment uncertain,gplates,101,mid,-90.2,49.33,scotese,101,mid,-98.45,44.77,seton,101,mid,-97.27,43.63,US,FED,White River,,lower,,,,,,,,,,,,,,,,,,,,,,,terrestrial indet.,,,,,,,,,,,body,,,,,,,,,,,,,,,,,,,,,,"apparently a single locality<br>could be in Carbon County, but most likely in same Natrona County deposits that yield Harshman's main Chadronian fauna<br>reference and specimens apparently unknown to Harshman 1972<br>said to be ""Lower Oligocene""",terrestrial,Eutheria,actively mobile,Osteichthyes,ground dwelling,Canidae,,,"carnivore, omnivore",Canidae,viviparous,Theria,,,,phosphatic,,,,Vertebrata,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Hesperocyon,41217,,Hesperocyon,,,,gregarius,,471,White River,,lower,,,,,,,,,,,,Priabonian,Priabonian,Priabonian,Priabonian,Priabonian,vertebrate,J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals.,4,4,0,J. Alroy,J. Alroy,,6/3/02 0:35,6/3/02 2:35
177975,occ,,,16917,Hesperocyon,,genus,41217,Chadronian,,37,33.9,Ostrander,1985,2716,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Hesperocyon,41217,,,,,,-103.800003,42.400002,,Bone Cove,,,US,Nebraska,Sioux,based on political unit,1,,,gplates,101,mid,-86.81,48.11,scotese,101,mid,-95.16,43.78,seton,101,mid,-94.1,42.57,US,,Chadron,,Big Cottonwood Creek,,,PineR,1,,bottom to top,,,,,member assignment based on LaGarry pers. commun. 19 May 2005,,,,,,,,,,,,terrestrial indet.,,,,,,,,,,,body,,,,,,,,,,,,,,,,,,,,,,NE 1/4 sec 26 T33N R53W,terrestrial,Eutheria,actively mobile,Osteichthyes,ground dwelling,Canidae,,,"carnivore, omnivore",Canidae,viviparous,Theria,,,,phosphatic,,,,Vertebrata,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Hesperocyon,41217,,Hesperocyon,,,,sp.,,471,Chadron,,Big Cottonwood Creek,,,,,,,,,,,,Priabonian,Priabonian,Priabonian,Priabonian,Priabonian,vertebrate,G. E. Ostrander. 1985. Correlation of the early Oligocene (Chadronian) in northwestern Nebraska. Dakoterra 2(2):205-231,4,4,4,J. Alroy,J. Alroy,J. Alroy,5/15/02 0:00,11/17/10 22:06
177988,occ,,,16918,Hesperocyon gregarius,,species,44845,Chadronian,,37,33.9,Gustafson,1986,1757,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Hesperocyon,41217,,,,,,-103.099998,42.799999,"specimen from KU-NE-083 ""Chadronian"" of Walter Brecht Ranch listed by Wang 1994",Brecht Ranch,,TNAS,US,Nebraska,Dawes,based on political unit,1,small collection,,gplates,101,mid,-85.94,48.41,scotese,101,mid,-94.41,44.14,seton,101,mid,-93.34,42.91,US,,Chadron,,,,,PineR,1,,bottom to top,,,,,,,,,,,,,,,,,terrestrial indet.,,,,,,,,,,,body,,,,,,,,,,,,,,,,,67 specimens,,,,,"includes CSC-55 Bartlett West #1 CSC-92 Rook Ranch lower levels (= UNSM Dw-104: Hunt 1998b) CSC-99 White's south end CSC-26 Hawthorne A CSC-27 Hawthorne B CSC-5 (in part) Schommer Ranch lower level<br>apparently in the Trunk Butter Member sensu LaGarry and LaGarry 1999<br>Brecht Ranch, level indeterminate: Paratylopus labiatus Prothero 1996d: presumably Orellan; also at ""Morris Ranch""<br>possibly relevant: Parictis sp. Hunt 1998a: ""Chadron Formation, sect. 2, T32N, R52W, Dawes County""<br>NISP 67, excluding brontotheres",terrestrial,Eutheria,actively mobile,Osteichthyes,ground dwelling,Canidae,,,"carnivore, omnivore",Canidae,viviparous,Theria,,,,phosphatic,,,,Vertebrata,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Hesperocyon,41217,,Hesperocyon,,,,gregarius,,471,Chadron,,,,,,,,,,,,,,Priabonian,Priabonian,Priabonian,Priabonian,Priabonian,vertebrate,"E. P. Gustafson. 1986. Preliminary biostratigraphy of the White River Group (Oligocene, Chadron and Brule formations) in the vicinity of Chadron, Nebraska. Transactions of the Nebraska Academy of Sciences 14:7-20",4,4,14,J. Alroy,J. Alroy,M. Carrano,5/15/02 0:00,1/21/21 13:37
178029,occ,,,16919,Hesperocyon gregarius,,species,44845,Chadronian,,37,33.9,Storer,1996,3318,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Hesperocyon,41217,,,,,,-109.883331,49.566666,"see Russell 1972: includes ""Alloeodectes mcgrewi"" of Russell 1984 according to Bryant 1991, Wang 1994; also includes cf. ""Hyaenodon minutus"" according to Bryant 1993",Calf Creek,,"SMNH Locality 6; SMNH 72F10-0001; ROM V-37-44; NMC Localities 115 and 117; Bone Coulee; ""Cypress Hills"" in part; Hunter Quarry",CA,Saskatchewan,,based on nearby landmark,minutes,outcrop,16 km NW of Eastend and apparently north of Fort Walsh (basis of coordinate),gplates,101,mid,-91.37,55.94,scotese,101,mid,-100.53,51.27,seton,101,mid,-98.95,50.18,CA,,Cypress Hills,,,,,,,,,,,,,,,not reported,,,,,,,,,,terrestrial indet.,,,"macrofossils,mesofossils",,,,,,,,body,,,,,,,,,,,,,general faunal/floral,,NMC,,2900 specimens,,,,,"unquestioned Chadronian localities include 72F10-0001 (Calf Creek Screening Locality)<br>""Mesohippus stenolophus"" of Russell 1975 is from  Hemingfordian localities: Storer and Bryant 1993<br><br>""Mesohippus assiniboiensis"" of Russell 1975 is from Whitneyan localities: Storer and Bryant 1993<br>""Trigonias cf. yoderensis"" of Kihm 1987 includes T. sp. C;  however, the latter belongs to Penetrigonias sagittatus;  see Hanson 1989<br><br>""Chadrolagus sp."" is not present: see Storer 1981b",terrestrial,Eutheria,actively mobile,Osteichthyes,ground dwelling,Canidae,,,"carnivore, omnivore",Canidae,viviparous,Theria,,,,phosphatic,,,,Vertebrata,Chordata,33815,Mammalia,36651,Carnivora,36905,Canidae,41189,Hesperocyon,41217,,Hesperocyon,,,,gregarius,,471,Cypress Hills,,,,not reported,,,,,,,,,,Priabonian,Priabonian,Priabonian,Priabonian,Priabonian,vertebrate,"J. E. Storer. 1996. Eocene-Oligocene faunas of the Cypress Hills Formation, Saskatchewan.  In D. R. Prothero and R. J. Emry (eds.), The Terrestrial Eocene-Oligocene Transition in North America",4,4,4,J. Alroy,J. Alroy,J. Alroy,5/15/02 0:00,1/5/11 2:58
